,id,title,views,evaluation,evaluation_tmdb,release_date,genre_ids,diff
239,49853,Same Same But Different,1,6.5,6.7,2009-08-13,"[18, 10749]",-0.20000000000000018
240,335,Once Upon a Time in the West,1,8.4,8.3,1968-12-21,[37],0.09999999999999964
241,640,Catch Me If You Can,1,8.1,7.9,2002-12-25,"[18, 80]",0.1999999999999993
242,334527,Criminal Activities,1,4.2,5.9,2015-11-20,"[53, 80, 18]",-1.7000000000000002
243,599975,Countdown,1,5.1,6.3,2019-10-24,"[27, 53]",-1.2000000000000002
244,548473,Color Out of Space,1,6.5,6.1,2019-10-11,"[27, 878]",0.40000000000000036
245,318781,Colonia,1,7.4,7.3,2016-02-12,"[18, 10749, 53]",0.10000000000000053
246,440298,Cold War,1,6.3,7.5,2018-06-08,"[18, 10749, 10752, 10402]",-1.2000000000000002
247,354912,Coco,1,5.5,8.2,2017-10-27,"[16, 10751, 35, 12, 14, 10402]",-2.6999999999999993
248,11513,Cobra Verde,1,7.0,7.0,1987-12-03,"[12, 18]",0.0
249,83542,Cloud Atlas,1,7.9,6.8,2012-10-26,"[18, 878]",1.1000000000000005
250,598,City of God,1,8.9,8.4,2002-02-05,"[18, 80]",0.5
251,23759,Centurion,1,6.3,6.2,2010-02-15,"[12, 28, 18]",0.09999999999999964
252,289,Casablanca,1,9.2,8.2,1942-11-26,"[18, 10749]",1.0
254,920,Cars,1,7.0,6.8,2006-06-08,"[16, 12, 35, 10751]",0.20000000000000018
255,258480,Carol,1,7.4,7.5,2015-11-20,"[10749, 18]",-0.09999999999999964
256,299537,Captain Marvel,1,6.9,7.0,2019-03-06,"[28, 12, 878]",-0.09999999999999964
257,271110,Captain America: Civil War,1,8.4,7.4,2016-04-27,"[12, 28, 878]",1.0
258,445,Caché,1,8.3,7.1,2005-10-05,"[9648, 18, 53]",1.200000000000001
259,469341,Damn Kids,1,6.3,6.2,2017-08-24,[18],0.09999999999999964
260,575807,By the Name of Tania,1,6.0,8.0,2019-02-10,[99],-2.0
261,11779,Buena Vista Social Club,1,6.7,7.6,1999-06-04,"[99, 10402]",-0.8999999999999995
264,581859,Da 5 Bloods,1,8.3,6.7,2020-06-12,"[10752, 18]",1.6000000000000005
266,68,Brazil,1,8.7,7.7,1985-02-20,"[35, 878]",0.9999999999999991
267,483184,Dogman,1,8.5,7.6,2018-05-17,"[80, 18, 53]",0.9000000000000004
268,137113,Edge of Tomorrow,1,7.8,7.6,2014-05-27,"[28, 878]",0.20000000000000018
269,624,Easy Rider,1,8.1,7.1,1969-05-07,"[12, 18]",1.0
270,374720,Dunkirk,1,8.4,7.5,2017-07-19,"[10752, 28, 18]",0.9000000000000004
271,8859,"Dude, Where's My Car?",1,8.0,5.5,2000-12-15,"[35, 878]",2.5
272,1554,Down by Law,1,6.5,7.4,1986-09-20,"[80, 18, 35]",-0.9000000000000004
273,141,Donnie Darko,1,8.5,7.8,2001-10-26,"[14, 18, 9648]",0.7000000000000002
274,141,Donnie Darko,1,9.5,7.8,2001-10-26,"[14, 18, 9648]",1.7000000000000002
275,455522,Donna Haraway: Story Telling for Earthly Survival,1,3.0,5.0,2016-05-25,[99],-2.0
276,519010,Pain and Glory,1,6.5,7.5,2019-03-22,[18],-1.0
277,38810,Dogtooth,1,7.9,7.2,2009-06-01,[18],0.7000000000000002
278,284052,Doctor Strange,1,6.9,7.4,2016-10-25,"[28, 12, 14, 878]",-0.5
279,582,The Lives of Others,1,8.6,8.1,2006-03-15,"[18, 53]",0.5
280,407448,Detroit,1,9.2,7.3,2017-07-28,"[80, 18, 53, 36]",1.8999999999999995
281,74308,Detachment,1,8.5,7.5,2011-04-24,[18],1.0
282,38602,Little Lord Fauntleroy,1,7.3,7.3,1980-11-25,"[18, 10751, 10770]",0.0
283,505706,The Golden Glove,1,7.0,7.2,2019-02-21,"[80, 18, 27, 53]",-0.20000000000000018
284,144,Wings of Desire,1,7.9,7.9,1987-05-17,"[18, 14, 10749]",0.0
285,303991,Demolition,1,6.1,6.7,2015-09-10,"[35, 18]",-0.6000000000000005
286,383498,Deadpool 2,1,7.3,7.5,2018-05-10,"[28, 35, 12]",-0.20000000000000018
